"amc ambassador dpl",70,3114
"amc rebel sst (sw)",70,2766
"buick estate wagon (sw)",70,4226
"buick skylark 320",70,2847
"chevrolet chevelle concours (sw)",70,3210
"chevrolet chevelle malibu",70,2881
"chevrolet impala",70,3132
"chevrolet monte carlo",70,3123
"dodge challenger se",70,3914
"ford galaxie 500",70,3137
"ford maverick",70,1995
"ford mustang boss 302",70,3126
"ford torino",70,2778
"ford torino (sw)",70,3164
"plymouth duster",70,2547
"plymouth fury iii",70,3174
"plymouth satellite",70,2831
"plymouth satellite (sw)",70,3191
"pontiac catalina",70,3164
"toyota corona mark ii",70,2170
"amc gremlin",71,1999
"amc hornet sportabout (sw)",71,2334
"amc matador",71,3100
"audi 100 ls",71,3595
"bmw 2002",71,3275
"chevrolet impala",71,3813
"chevrolet vega (sw)",71,2328
"chevrolet vega 2300",71,2090
"chevy c20",71,3870
"dodge d200",71,3198
"dodge monaco (sw)",71,4689
"fiat 124b",71,2081
"ford country squire (sw)",71,4074
"ford f250",71,3214
"ford mustang",71,3322
"ford pinto",71,1919
"ford torino 500",71,2950
"peugeot 304",71,2479
"peugeot 504",71,3478
"plymouth cricket",71,1915
"plymouth fury iii",71,3612
"plymouth satellite custom",71,3003
"pontiac catalina brougham",71,4154
"pontiac firebird",71,3168
"pontiac safari (sw)",71,4643
"saab 99e",71,3375
"toyota corolla 1200",71,1798
"toyota corona",71,2150
"amc ambassador sst",72,3902
"amc matador (sw)",72,3239
"buick lesabre custom",72,4291
"chevrolet chevelle concours (sw)",72,3244
"chevrolet impala",72,3979
"chevrolet vega",72,2160
"chrysler newport royal",72,4124
"dodge colt (sw)",72,2451
"dodge colt hardtop",72,2233
"ford pinto (sw)",72,2265
"ford pinto runabout",72,2078
"mazda rx2 coupe",72,2290
"mercury marquis",72,4572
"oldsmobile delta 88 royale",72,4387
"peugeot 504 (sw)",72,4095
"plymouth fury iii",72,3785
"plymouth satellite custom (sw)",72,3340
"pontiac catalina",72,4080
"renault 12 (sw)",72,2695
"toyota corolla 1600 (sw)",72,2301
"toyota corona hardtop",72,2532
"toyoto corona mark ii (sw)",72,2837
"volkswagen 411 (sw)",72,3275
"volkswagen type 3",72,2549
"volvo 145e (sw)",72,3890
"amc ambassador brougham",73,4477
"amc gremlin",73,2098
"amc hornet",73,2449
"amc matador",73,2986
"buick century 350",73,3057
"buick electra 225 custom",73,4993
"chevrolet caprice classic",73,4345
"chevrolet impala",73,3836
"chevrolet malibu",73,3010
"chevrolet monte carlo s",73,3562
"chevrolet nova custom",73,2641
"chevrolet vega",73,2192
"chrysler new yorker brougham",73,5413
"dodge coronet custom",73,3129
"dodge dart custom",73,2658
"fiat 124 sport coupe",73,3674
"fiat 128",73,2195
"ford gran torino",73,3015
"ford ltd",73,3950
"ford maverick",73,2248
"ford pinto",73,2021
"maxda rx3",73,3295
"mercury marquis brougham",73,5151
"oldsmobile omega",73,2777
"oldsmobile vista cruiser",73,3789
"plymouth fury gran sedan",73,4064
"plymouth valiant",73,2447
"pontiac grand prix",73,4583
"saab 99le",73,4095
"toyota carina",73,2589
"volkswagen super beetle",73,2499
"volvo 144ea",73,4340
"amc hornet",74,2849
"amc matador",74,3699
"amc matador (sw)",74,3477
"audi fox",74,3975
"buick century luxus (sw)",74,4371
"chevrolet nova",74,2919
"chevrolet vega",74,2505
"dodge colt",74,2585
"dodge coronet custom (sw)",74,3882
"fiat 124 tc",74,4343
"fiat 128",74,2684
"fiat x1.9",74,4167
"ford gran torino",74,3411
"ford gran torino (sw)",74,4017
"ford maverick",74,2790
"ford pinto",74,2527
"honda civic",74,2545
"opel manta",74,3275
"plymouth duster",74,2829
"plymouth satellite sebring",74,3468
"subaru",74,2997
"toyota corolla 1200",74,2199
"toyota corona",74,3344
"volkswagen dasher",74,4100
"amc gremlin",75,2798
"amc matador",75,3545
"amc pacer",75,3299
"buick century",75,4022
"buick skyhawk",75,4173
"chevrolet bel air",75,4345
"chevrolet monza 2+2",75,3953
"chevrolet nova",75,3280
"ford ltd",75,4753
"ford maverick",75,3025
"ford mustang ii",75,3801
"ford pinto",75,2769
"honda civic cvcc",75,3009
"mercury monarch",75,3892
"peugeot 504",75,6330
"plymouth fury",75,3672
"plymouth grand fury",75,4565
"plymouth valiant custom",75,3422
"pontiac astro",75,3079
"pontiac catalina",75,4700
"saab 99le",75,5198
"toyota corolla",75,2711
"toyota corona",75,4379
"volkswagen dasher",75,4700
"volkswagen rabbit",75,3330
"volvo 244dl",75,6595
"amc hornet",76,3199
"amc matador",76,3725
"amc pacer d/l",76,3499
"cadillac seville",76,12479
"chevrolet chevelle malibu classic",76,4455
"chevrolet chevette",76,2558
"chevrolet nova",76,3413
"chevy c10",76,5087
"dodge aspen se",76,4413
"dodge colt",76,3175
"dodge coronet brougham",76,4297
"dodge d100",76,3777
"fiat 131",76,4286
"ford granada ghia",76,4353
"ford maverick",76,3117
"ford pinto",76,3025
"honda civic",76,2939
"mercedes-benz 280s",76,17124
"peugeot 504",76,7340
"plymouth valiant",76,3276
"plymouth volare premier v8",76,3324
"pontiac ventura sj",76,3702
"renault 12tl",76,3899
"toyota corolla",76,2789
"volkswagen rabbit",76,3499
"volvo 245",76,7495
"vw rabbit",76,3499
"bmw 320i",77,7990
"buick skylark",77,3865
"chevrolet caprice classic",77,5307
"chevrolet chevette",77,3225
"chevrolet concours",77,4111
"chevrolet monte carlo landau",77,4968
"chrysler cordoba",77,5418
"dodge colt m/m",77,2999
"dodge monaco brougham",77,4408
"ford granada",77,4209
"ford mustang ii 2+2",77,4183
"ford thunderbird",77,5063
"honda accord cvcc",77,3299
"mazda rx-4",77,5470
"mercury cougar brougham",77,4990
"oldsmobile cutlass supreme",77,4825
"plymouth arrow gs",77,3654
"plymouth volare custom",77,3752
"pontiac grand prix lj",77,5483
"pontiac sunbird coupe",77,3659
"renault 5 gtl",77,4450
"subaru dl",77,3499
"toyota corolla liftback",77,3918
"volkswagen dasher",77,5399
"volkswagen rabbit custom",77,4079
"amc concord",78,3849
"amc concord d/l",78,3849
"audi 5000",78,8780
"buick century special",78,4633
"buick regal sport coupe (turbo)",78,5958
"chevrolet chevette",78,3644
"chevrolet malibu",78,4394
"chevrolet monte carlo landau",78,4935
"dodge aspen",78,3911
"dodge diplomat",78,5207
"dodge magnum xe",78,5509
"dodge omni",78,3967
"ford fairmont (auto)",78,3744
"ford fairmont (man)",78,3744
"honda accord lx",78,5965
"honda civic cvcc",78,3975
"mazda glc deluxe",78,3145
"mercury monarch ghia",78,4571
"mercury zephyr",78,3897
"oldsmobile cutlass salon brougham",78,4877
"oldsmobile starfire sx",78,4306
"peugeot 604sl",78,10990
"plymouth sapporo",78,6087
"plymouth volare",78,3771
"pontiac phoenix lj",78,4399
"saab 99gle",78,6298
"toyota celica gt liftback",78,5889
"toyota corona",78,4574
"volkswagen rabbit custom diesel",78,4699
"volkswagen scirocco",78,6095
"volvo 264gl",78,10245
"amc concord dl 6",79,4324
"amc spirit dl",79,4133
"buick estate wagon (sw)",79,7169
"buick skylark limited",79,4462
"cadillac eldorado",79,14668
"chevrolet caprice classic",79,6508
"chevrolet malibu classic (sw)",79,5480
"chrysler lebaron town @ country (sw)",79,6642
"dodge aspen 6",79,4399
"dodge colt hatchback custom",79,4425
"dodge stregis",79,6847
"fiat strada custom",79,4496
"ford country squire (sw)",79,7006
"ford fairmont 4",79,4383
"ford ltd landau",79,6686
"maxda glc deluxe",79,3995
"mercedes benz 300d",79,21497
"mercury grand marquis",79,7721
"mercury zephyr 6",79,4888
"oldsmobile cutlass salon brougham",79,5442
"oldsmobile omega brougham",79,4582
"peugeot 504",79,8040
"plymouth horizon",79,4469
"plymouth horizon tc3",79,4864
"pontiac lemans v6",79,5301
"pontiac phoenix",79,4089
"vw rabbit custom",79,4799
